ITEM_INST1;ITEM_INST2;ITEM_INST3;ITEM_INST4;ITEM_INST5;ITEM_INST6;ITEM_INST7;ITEM_INST8;ITEM_INST9;ITEM_INST10;ITEM_PEDAG1;ITEM_PEDAG2;ITEM_PEDAG3;ITEM_PEDAG4;ITEM_PEDAG5;ITEM_PEDAG6;ITEM_PEDAG7;ITEM_PEDAG8;ITEM_PEDAG9;ITEM_PEDAG10
Nunca;Siempre;A veces;A veces;Siempre;A veces;A veces;Siempre;Siempre;Siempre;Siempre;Nunca;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre
Nunca;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre;Siempre
A veces;A veces;A veces;A veces;Casi Siempre;Siempre;Casi Siempre;Casi Siempre;Casi Siempre;A veces;Nunca;Casi Nunca;A veces;Nunca;Casi Siempre;Casi Siempre;Casi Siempre;A veces;Siempre;A veces
Casi Nunca;Casi Siempre;Casi Siempre;Casi Nunca;Casi Siempre;Nunca;A veces;Casi Siempre;A veces;A veces;Casi Siempre;Casi Siempre;Casi Nunca;Casi Siempre;Casi Siempre;Casi Nunca;A veces;A veces;A veces;Casi Siempre
A veces;A veces;Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Siempre;Casi Siempre;Casi Siempre;A veces;Casi Siempre;A veces;Casi Nunca;Casi Siempre;A veces;A veces;Casi Siempre;Casi Siempre;A veces;Casi Siempre
Casi Siempre;Nunca;Casi Nunca;Casi Nunca;Nunca;Casi Siempre;Siempre;Casi Siempre;Casi Nunca;A veces;Casi Siempre;Casi Siempre;Nunca;Siempre;Casi Siempre;Casi Nunca;Siempre;Nunca;Casi Siempre;Siempre
Nunca;A veces;A veces;A veces;Siempre;Siempre;Casi Siempre;A veces;A veces;A veces;Casi Siempre;Casi Nunca;Casi Nunca;Casi Siempre;A veces;Casi Nunca;Casi Siempre;Casi Siempre;A veces;Siempre
Nunca;A veces;A veces;Casi Siempre;Casi Siempre;Casi Nunca;Siempre;Siempre;Casi Siempre;Casi Nunca;Casi Siempre;Casi Nunca;Casi Siempre;Siempre;Casi Siempre;Casi Nunca;Siempre;Casi Nunca;Casi Siempre;Siempre
Casi Siempre;Casi Siempre;Siempre;Nunca;Siempre;Casi Nunca;Siempre;Siempre;Siempre;Nunca;Casi Siempre;Casi Siempre;A veces;Casi Siempre;Casi Siempre;Casi Siempre;Siempre;Siempre;Siempre;Casi Siempre
A veces;A veces;Casi Siempre;Casi Nunca;A veces;A veces;Casi Siempre;A veces;A veces;A veces;Casi Nunca;A veces;Casi Siempre;A veces;A veces;Casi Siempre;A veces;A veces;Casi Nunca;Casi Nunca
A veces;A veces;Casi Nunca;Casi Nunca;Casi Nunca;A veces;Casi Siempre;Casi Nunca;Casi Siempre;A veces;A veces;Casi Nunca;Casi Siempre;Casi Nunca;A veces;Casi Siempre;Casi Nunca;A veces;A veces;Casi Nunca
Casi Siempre;A veces;Casi Siempre;A veces;Casi Siempre;Siempre;Casi Siempre;A veces;A veces;Casi Siempre;A veces;Casi Siempre;Siempre;Nunca;Casi Nunca;Siempre;Nunca;Siempre;A veces;Nunca
Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca
A veces;Casi Siempre;Casi Siempre;Casi Siempre;Siempre;A veces;Casi Siempre;Casi Nunca;A veces;Casi Siempre;Siempre;Casi Nunca;A veces;A veces;Siempre;Casi Siempre;Siempre;Casi Siempre;Casi Siempre;Casi Siempre
A veces;A veces;A veces;Casi Siempre;A veces;Casi Nunca;A veces;Casi Nunca;Casi Siempre;A veces;Casi Siempre;Casi Siempre;Casi Siempre;A veces;Casi Siempre;Siempre;Casi Nunca;Casi Nunca;Nunca;Casi Siempre
Siempre;Casi Nunca;Nunca;Siempre;Casi Nunca;Casi Siempre;Casi Nunca;Siempre;Nunca;Casi Nunca;Nunca;A veces;Casi Siempre;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;A veces;Casi Nunca;Casi Nunca
Casi Nunca;A veces;Casi Siempre;Casi Nunca;A veces;Siempre;Casi Siempre;A veces;Casi Siempre;Casi Nunca;A veces;Casi Nunca;Casi Nunca;Casi Siempre;A veces;Casi Nunca;Nunca;Casi Nunca;A veces;Siempre
A veces;A veces;Casi Siempre;A veces;Casi Siempre;Casi Nunca;Casi Siempre;A veces;A veces;A veces;Casi Siempre;Casi Nunca;Casi Nunca;Casi Siempre;A veces;Casi Nunca;A veces;Casi Nunca;A veces;Casi Siempre
Nunca;Casi Siempre;Siempre;Casi Siempre;Siempre;A veces;Siempre;A veces;A veces;A veces;Siempre;Casi Siempre;A veces;Casi Siempre;Casi Siempre;Nunca;Siempre;Casi Nunca;Casi Siempre;Casi Siempre
Nunca;Siempre;Casi Siempre;Casi Nunca;Casi Siempre;A veces;Casi Siempre;A veces;Siempre;A veces;Siempre;Casi Nunca;Casi Nunca;Casi Siempre;Casi Siempre;Casi Nunca;A veces;A veces;Casi Siempre;Siempre
Casi Siempre;Casi Nunca;A veces;Casi Nunca;Siempre;Casi Siempre;Siempre;Siempre;Casi Siempre;Casi Nunca;Siempre;Siempre;Casi Siempre;Casi Siempre;Casi Nunca;Siempre;Nunca;A veces;Casi Siempre;Casi Siempre
Casi Nunca;Casi Nunca;Casi Siempre;Nunca;Siempre;A veces;Siempre;Siempre;Nunca;A veces;A veces;Casi Nunca;Casi Nunca;Casi Siempre;Casi Nunca;Nunca;Nunca;Nunca;Casi Nunca;Casi Siempre
A veces;Siempre;Siempre;A veces;A veces;Nunca;A veces;A veces;A veces;A veces;Siempre;Siempre;Siempre;A veces;A veces;A veces;A veces;A veces;A veces;A veces
A veces;A veces;Casi Siempre;Nunca;Casi Nunca;Nunca;Casi Siempre;Nunca;Siempre;Nunca;Casi Siempre;A veces;Casi Siempre;A veces;Casi Nunca;Siempre;Siempre;Siempre;Nunca;Casi Siempre
Casi Nunca;Siempre;Siempre;Nunca;Siempre;Casi Nunca;Siempre;Nunca;Casi Nunca;Casi Siempre;Siempre;Nunca;Siempre;Siempre;Casi Nunca;Nunca;Casi Siempre;Nunca;Casi Siempre;Siempre
Nunca;A veces;A veces;Casi Nunca;A veces;Casi Siempre;A veces;Casi Nunca;A veces;A veces;Casi Nunca;A veces;Casi Nunca;A veces;A veces;A veces;A veces;A veces;A veces;A veces
A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces
Casi Nunca;Nunca;Casi Nunca;A veces;Casi Nunca;Casi Nunca;A veces;A veces;Casi Nunca;A veces;Casi Nunca;Casi Nunca;Casi Nunca;A veces;A veces;A veces;A veces;A veces;Nunca;Casi Siempre
Casi Nunca;A veces;A veces;Casi Nunca;Casi Siempre;Casi Siempre;Casi Siempre;Casi Nunca;Casi Siempre;Casi Nunca;Casi Siempre;Casi Nunca;Casi Nunca;Casi Siempre;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;A veces;Siempre
Nunca;A veces;Casi Siempre;A veces;Siempre;Casi Nunca;Casi Siempre;Casi Siempre;A veces;Casi Siempre;Siempre;Casi Nunca;Nunca;Casi Siempre;Casi Nunca;Casi Nunca;Casi Siempre;Casi Nunca;A veces;Siempre
Nunca;A veces;Casi Siempre;Casi Siempre;Casi Siempre;A veces;Casi Siempre;A veces;Casi Siempre;Casi Siempre;Siempre;Casi Nunca;Nunca;Siempre;Siempre;A veces;Siempre;Casi Nunca;Casi Siempre;Siempre
A veces;Casi Nunca;A veces;Nunca;Casi Siempre;Casi Nunca;Casi Siempre;A veces;A veces;A veces;Casi Siempre;Casi Siempre;A veces;A veces;Casi Siempre;A veces;A veces;A veces;A veces;Casi Siempre
Casi Nunca;A veces;A veces;A veces;A veces;A veces;A veces;Casi Nunca;Casi Nunca;A veces;A veces;Casi Siempre;A veces;A veces;Casi Nunca;A veces;A veces;Casi Nunca;Casi Siempre;A veces
Casi Nunca;A veces;A veces;Nunca;A veces;A veces;Casi Siempre;Nunca;Casi Nunca;A veces;A veces;Siempre;Siempre;Casi Nunca;Casi Nunca;Casi Siempre;Casi Siempre;Casi Siempre;A veces;Casi Siempre
Casi Nunca;A veces;Casi Siempre;Casi Siempre;Casi Siempre;A veces;Casi Siempre;Casi Nunca;A veces;Casi Siempre;A veces;A veces;A veces;Casi Siempre;Casi Nunca;A veces;Casi Nunca;A veces;A veces;Casi Siempre
Casi Nunca;A veces;A veces;Casi Nunca;Casi Siempre;A veces;A veces;A veces;Casi Nunca;Nunca;A veces;Casi Siempre;A veces;Casi Nunca;A veces;A veces;A veces;A veces;Nunca;Casi Siempre
Casi Siempre;Casi Siempre;Casi Siempre;A veces;Casi Siempre;Casi Siempre;A veces;Casi Siempre;Siempre;Casi Siempre;Casi Siempre;Casi Siempre;A veces;Casi Siempre;A veces;A veces;Casi Siempre;Casi Siempre;Casi Siempre;Siempre
Nunca;Casi Nunca;Nunca;Nunca;Casi Nunca;Casi Nunca;A veces;Casi Nunca;Nunca;Casi Nunca;Casi Nunca;Casi Nunca;A veces;Nunca;A veces;Casi Nunca;Nunca;Nunca;A veces;Casi Nunca
Nunca;Casi Nunca;Nunca;Nunca;Casi Nunca;Casi Nunca;A veces;Casi Nunca;Nunca;Casi Nunca;Casi Nunca;Casi Nunca;A veces;Nunca;A veces;Casi Nunca;Nunca;Nunca;A veces;Casi Nunca
Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Nunca;Casi Nunca;Nunca;A veces;Casi Nunca;Casi Nunca;Casi Nunca;Nunca;Casi Nunca;Casi Nunca;Casi Nunca
A veces;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;A veces;Casi Siempre;A veces;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;A veces;Casi Siempre;A veces;Siempre
A veces;Casi Nunca;A veces;A veces;Casi Siempre;A veces;A veces;A veces;A veces;Casi Nunca;A veces;A veces;A veces;Casi Nunca;A veces;Casi Nunca;Casi Siempre;A veces;A veces;Casi Siempre
A veces;A veces;Casi Siempre;Casi Nunca;Casi Nunca;A veces;A veces;Casi Siempre;Casi Nunca;A veces;Casi Siempre;A veces;A veces;A veces;A veces;Nunca;Casi Siempre;A veces;Casi Nunca;A veces
Nunca;Casi Nunca;Casi Nunca;Casi Nunca;A veces;Casi Nunca;A veces;A veces;Casi Nunca;Casi Nunca;A veces;Casi Nunca;Nunca;A veces;Casi Nunca;Casi Nunca;Nunca;Casi Nunca;Casi Nunca;Casi Siempre
Casi Nunca;A veces;A veces;Casi Siempre;A veces;A veces;Casi Siempre;Casi Siempre;A veces;A veces;Siempre;Casi Siempre;Casi Nunca;Casi Siempre;Casi Siempre;Casi Nunca;A veces;Casi Nunca;Casi Siempre;Casi Siempre
Siempre;A veces;Casi Nunca;A veces;Nunca;Siempre;Casi Nunca;Siempre;Nunca;Nunca;Siempre;Nunca;Siempre;Siempre;Casi Nunca;Nunca;Nunca;Casi Siempre;Nunca;Siempre
Nunca;Casi Nunca;Siempre;Casi Nunca;Siempre;Nunca;Siempre;Nunca;Siempre;Siempre;Siempre;Casi Nunca;Nunca;Siempre;Casi Siempre;Siempre;Nunca;Siempre;Siempre;Siempre
Nunca;A veces;Siempre;Casi Nunca;Siempre;Siempre;Siempre;Casi Nunca;Casi Nunca;Casi Siempre;Siempre;Nunca;Nunca;Siempre;A veces;Nunca;Siempre;Nunca;Casi Siempre;Siempre
Casi Nunca;Casi Siempre;A veces;Casi Nunca;Siempre;Casi Nunca;Casi Siempre;Casi Nunca;A veces;A veces;Casi Siempre;Casi Nunca;Casi Nunca;A veces;Casi Siempre;A veces;Casi Nunca;Casi Nunca;A veces;Siempre
Casi Siempre;A veces;A veces;Casi Siempre;Casi Siempre;A veces;Casi Siempre;Casi Siempre;A veces;A veces;Casi Siempre;A veces;A veces;Casi Siempre;A veces;Casi Nunca;Casi Siempre;Casi Siempre;Casi Nunca;Casi Siempre
Nunca;A veces;Casi Siempre;Nunca;Casi Siempre;A veces;Casi Siempre;Casi Nunca;Casi Nunca;A veces;Siempre;A veces;A veces;Casi Siempre;Casi Siempre;A veces;Casi Siempre;Casi Siempre;Casi Nunca;Casi Siempre
Casi Nunca;Casi Siempre;Casi Siempre;A veces;Siempre;A veces;Siempre;Casi Nunca;A veces;Casi Siempre;Siempre;Casi Siempre;Casi Nunca;Siempre;Casi Nunca;A veces;Siempre;A veces;Casi Siempre;Siempre
A veces;A veces;Casi Siempre;A veces;A veces;A veces;A veces;Casi Nunca;Casi Siempre;Casi Siempre;A veces;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;A veces;Casi Siempre;Casi Siempre;Casi Siempre
Casi Siempre;A veces;Casi Siempre;A veces;Casi Siempre;Casi Siempre;A veces;A veces;A veces;Casi Siempre;Casi Siempre;A veces;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre
Casi Siempre;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;Casi Siempre
A veces;A veces;A veces;Casi Nunca;Casi Siempre;Casi Nunca;A veces;Casi Nunca;A veces;A veces;A veces;Casi Siempre;A veces;A veces;A veces;Casi Siempre;Casi Nunca;Casi Nunca;Casi Siempre;A veces
A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces
A veces;A veces;A veces;A veces;Siempre;A veces;A veces;A veces;A veces;A veces;Siempre;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;Siempre
Nunca;Casi Nunca;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;Casi Siempre;Casi Siempre
Nunca;A veces;A veces;Casi Nunca;A veces;A veces;A veces;Casi Siempre;A veces;A veces;Casi Siempre;A veces;Casi Nunca;Casi Siempre;A veces;Casi Nunca;Casi Nunca;Casi Nunca;Casi Siempre;Casi Siempre
A veces;Casi Nunca;A veces;A veces;A veces;Casi Siempre;Casi Siempre;Siempre;Casi Siempre;Casi Nunca;Siempre;Casi Nunca;A veces;Siempre;A veces;Nunca;Nunca;Casi Siempre;Nunca;Casi Siempre
A veces;Casi Nunca;Casi Siempre;Casi Siempre;A veces;Casi Siempre;A veces;A veces;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;A veces;Casi Nunca;Casi Nunca;Casi Nunca;A veces;A veces;Casi Nunca;Casi Siempre
A veces;Casi Siempre;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;Casi Siempre;A veces;A veces;A veces
Casi Nunca;A veces;Casi Nunca;Casi Siempre;Casi Siempre;Siempre;Casi Siempre;A veces;Casi Siempre;Casi Siempre;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces
Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Casi Nunca;Nunca;Casi Nunca;Nunca;Casi Nunca;Nunca;Casi Nunca;Nunca;Casi Nunca;Nunca;Casi Nunca
Casi Nunca;A veces;A veces;A veces;A veces;A veces;Casi Siempre;Casi Siempre;A veces;Casi Siempre;A veces;Casi Siempre;A veces;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre
Nunca;A veces;Casi Siempre;Siempre;Siempre;Nunca;Siempre;Siempre;Casi Siempre;Siempre;Siempre;Casi Nunca;Nunca;Siempre;Casi Nunca;Casi Nunca;Casi Nunca;Nunca;Casi Nunca;Casi Siempre
Nunca;Siempre;Nunca;Casi Nunca;Nunca;A veces;Casi Siempre;Casi Nunca;A veces;Casi Siempre;Nunca;Casi Nunca;A veces;Casi Nunca;A veces;A veces;A veces;A veces;A veces;A veces
Siempre;Casi Siempre;Nunca;A veces;Casi Siempre;Casi Nunca;Casi Siempre;A veces;Casi Nunca;A veces;Casi Siempre;A veces;Casi Siempre;A veces;Casi Siempre;A veces;Casi Nunca;A veces;Casi Nunca;Casi Siempre
A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;Casi Siempre;A veces;Casi Siempre;A veces;A veces;Casi Siempre
Nunca;Casi Siempre;A veces;Nunca;A veces;Casi Siempre;Siempre;Casi Nunca;A veces;A veces;A veces;Casi Siempre;Siempre;A veces;Casi Siempre;Casi Siempre;Casi Nunca;Siempre;Nunca;Casi Siempre
Nunca;Casi Siempre;A veces;Casi Nunca;Casi Siempre;Siempre;A veces;A veces;A veces;Casi Siempre;Siempre;Casi Nunca;Nunca;Siempre;Casi Nunca;Nunca;Casi Siempre;Nunca;Casi Siempre;Casi Siempre
A veces;A veces;Casi Siempre;Casi Nunca;A veces;A veces;Casi Siempre;Nunca;Casi Siempre;Nunca;A veces;A veces;A veces;A veces;A veces;A veces;A veces;Casi Nunca;Siempre;Siempre
Casi Nunca;Casi Siempre;A veces;Casi Nunca;Siempre;Casi Nunca;A veces;A veces;A veces;A veces;Casi Siempre;A veces;Casi Nunca;A veces;Casi Nunca;Casi Nunca;A veces;A veces;Casi Nunca;Casi Siempre
Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre;Casi Siempre
A veces;Casi Siempre;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;Casi Siempre;A veces;A veces;A veces
